trial_id,K_true,noise_sd,method,K_selected,ARI,cent_rmse,cov_err,elapsed_sec
94,5,0.05,vb_pred,11,1,2.02683914701252,0.928060122707747,142.700429
95,5,0.05,kmeans_sil,10,0.991496727321371,NaN,NaN,39.833297
95,5,0.05,vb_elbo,5,0.938958775186681,0.0313288733472445,1.36981272353766,126.293641
95,5,0.05,vb_icl,5,0.96478156938933,0.0313288733472445,1.36981272353766,0
95,5,0.05,vb_pred,11,0.998609753874997,3.4464465388074,29.3948720810772,115.475636
96,6,0.05,kmeans_sil,10,0.991055924925889,NaN,NaN,41.470124
96,6,0.05,vb_elbo,6,0.950931378331863,0.0366837667170406,1.31357879561339,129.915867
96,6,0.05,vb_icl,6,0.950931378331863,0.0366837667170406,1.31357879561339,0
96,6,0.05,vb_pred,9,0.930708852873096,0.0366837667170406,1.31357879561339,110.212688
97,6,0.05,kmeans_sil,10,0.991845078627253,NaN,NaN,48.955509
97,6,0.05,vb_elbo,5,0.905157128033305,0.203441939144979,9.23711966539796,128.829969
97,6,0.05,vb_icl,5,0.905157128033305,0.203441939144979,9.23711966539796,0
97,6,0.05,vb_pred,12,1,1.51934865254411,17.7535480407024,192.869012
98,6,0.05,kmeans_sil,10,0.987077163062719,NaN,NaN,43.099587
98,6,0.05,vb_elbo,6,0.911456314320289,0.0343840573207231,1.14471108290539,71.263505
98,6,0.05,vb_icl,6,0.911456314320289,0.034384057320723,1.14471108290539,0
98,6,0.05,vb_pred,10,1,1.66888925273616,17.6744845514226,159.825266
99,6,0.05,kmeans_sil,8,0.987980729340117,NaN,NaN,99.573361
99,6,0.05,vb_elbo,6,0.951875205960753,0.0276389931976322,0.672911727554616,146.485742
99,6,0.05,vb_icl,6,0.951875205960753,0.0276389931976322,0.672911727554616,0
99,6,0.05,vb_pred,12,1,1.53854855303299,16.9105290582272,135.7618
100,6,0.05,kmeans_sil,10,0.98995878508351,NaN,NaN,81.615765
100,6,0.05,vb_elbo,6,0.940986558110635,0.0232392297449652,0.737560271256291,153.692586
100,6,0.05,vb_icl,6,0.940986558110635,0.0232392297449652,0.737560271256291,0
100,6,0.05,vb_pred,11,0.995394254473588,2.18957301147505,17.3773948119357,165.56959
101,7,0.05,kmeans_sil,10,0.988539129266271,NaN,NaN,69.035826
101,7,0.05,vb_elbo,7,0.948262264717224,0.0287176410037532,1.16548728623135,101.45623
101,7,0.05,vb_icl,7,0.948262264717224,0.0287176410037532,1.16548728623135,0
101,7,0.05,vb_pred,12,1,1.49546608328472,18.5373147230554,113.358003
102,7,0.05,kmeans_sil,10,0.990128220900379,NaN,NaN,87.210074
102,7,0.05,vb_elbo,7,0.947386869449603,0.030667774819179,0.909513029609146,180.736496
102,7,0.05,vb_icl,7,0.947386869449603,0.030667774819179,0.909513029609146,0
102,7,0.05,vb_pred,12,0.936591721125042,0.030667774819179,0.909513029609145,209.606446
103,7,0.05,kmeans_sil,10,0.987441808301039,NaN,NaN,90.416635
103,7,0.05,vb_elbo,7,0.93470299255203,0.0332305990298258,1.05430800150527,119.274749
103,7,0.05,vb_icl,7,0.93470299255203,0.0332305990298258,1.05430800150527,0
103,7,0.05,vb_pred,12,1,1.35862551412789,1.05430800150527,198.406649
104,7,0.05,kmeans_sil,10,0.992522906220588,NaN,NaN,55.356555
104,7,0.05,vb_elbo,7,0.93483268674087,0.0372336758923724,1.59093883543559,187.500675
104,7,0.05,vb_icl,7,0.93483268674087,0.0372336758923724,1.59093883543559,0
104,7,0.05,vb_pred,10,0.93483268674087,0.0372336758923724,1.59093883543559,189.552123
105,7,0.05,kmeans_sil,10,0.990208376500494,NaN,NaN,53.89576
105,7,0.05,vb_elbo,7,0.951720387840374,0.0409834343329585,1.6437107138454,103.126822
105,7,0.05,vb_icl,7,0.951720387840374,0.0409834343329585,1.6437107138454,0
105,7,0.05,vb_pred,10,0.998199914445683,2.49922839034321,38.6262856396405,111.175282
106,8,0.05,kmeans_sil,10,0.990838464663573,NaN,NaN,45.230232
106,8,0.05,vb_elbo,8,0.957965430733737,0.0439527600967204,1.66890425909701,81.112684
106,8,0.05,vb_icl,8,0.956765518273109,0.0439527600967204,1.66890425909701,0
106,8,0.05,vb_pred,11,1,3.33638898000205,13.9571947626784,55.832116
107,8,0.05,kmeans_sil,10,0.990003185558551,NaN,NaN,108.17193
107,8,0.05,vb_elbo,8,0.944547694191218,0.0315402364741322,1.14571199145721,138.340994
107,8,0.05,vb_icl,8,0.944547694191218,0.0315402364741322,1.14571199145721,0
107,8,0.05,vb_pred,9,0.93658103106278,0.0315402364741322,1.14571199145721,94.497301
108,8,0.05,kmeans_sil,10,0.988007242148584,NaN,NaN,72.58697
108,8,0.05,vb_elbo,8,0.949980819077193,0.0370172232746714,1.25636613380027,87.609443
108,8,0.05,vb_icl,8,0.945837086292855,0.0370172232746714,1.25636613380027,0
108,8,0.05,vb_pred,12,1,1.36425349402165,13.2690794441317,105.18229
109,8,0.05,kmeans_sil,10,0.991299174752842,NaN,NaN,94.553816
109,8,0.05,vb_elbo,8,0.939395694213592,0.0315083408497741,1.01040124532889,114.558787
109,8,0.05,vb_icl,8,0.939395694213592,0.0315083408497741,1.01040124532889,0
109,8,0.05,vb_pred,10,1,1.76269249867565,13.0837426947776,74.369032
110,8,0.05,kmeans_sil,10,0.986977971783962,NaN,NaN,90.273809
110,8,0.05,vb_elbo,8,0.942167217219246,0.0273978033009251,0.916501063123265,98.412492
110,8,0.05,vb_icl,8,0.937045353973031,0.0273978033009251,0.916501063123265,0
110,8,0.05,vb_pred,11,1,1.47254308755141,13.2212271551405,95.089282
111,9,0.05,kmeans_sil,10,0.993423652460104,NaN,NaN,135.548626
111,9,0.05,vb_elbo,9,0.94385492757912,0.031641886257157,1.10206098980258,83.138807
111,9,0.05,vb_icl,9,0.94385492757912,0.031641886257157,1.10206098980258,0
111,9,0.05,vb_pred,12,1,1.28762361354512,11.80512110238,118.566327
112,9,0.05,kmeans_sil,10,0.993548048344263,NaN,NaN,85.951142
112,9,0.05,vb_elbo,9,0.938639497312432,0.0383393600959507,1.43219416400928,126.544419
112,9,0.05,vb_icl,9,0.938639497312432,0.0383393600959507,1.43219416400928,0
112,9,0.05,vb_pred,11,1,1.16603797630499,1.43219416400928,70.174507
113,9,0.05,kmeans_sil,10,0.988377735105379,NaN,NaN,121.902854
113,9,0.05,vb_elbo,8,0.936796683649237,0.391866912924471,14.2178018260991,77.038409
113,9,0.05,vb_icl,8,0.936796683649237,0.391866912924471,14.2178018260991,0
113,9,0.05,vb_pred,10,0.92182062377498,0.23351534827221,8.90930394963708,95.2964
114,9,0.05,kmeans_sil,10,0.989395459436139,NaN,NaN,144.415532
114,9,0.05,vb_elbo,9,0.943905689971174,0.029434809504178,0.971558551165284,95.92003
114,9,0.05,vb_icl,9,0.943905689971174,0.029434809504178,0.971558551165284,0
114,9,0.05,vb_pred,12,0.997742423347451,1.79253864256727,16.533392695081,264.395778
115,9,0.05,kmeans_sil,10,0.990914474453228,NaN,NaN,114.69388
115,9,0.05,vb_elbo,8,0.922339429550985,0.764133432803991,17.633347563353,206.037365
115,9,0.05,vb_icl,8,0.922339429550985,0.764133432803991,17.633347563353,0
115,9,0.05,vb_pred,12,1,1.09922966037457,1.01549501268587,90.618984
116,10,0.05,kmeans_sil,10,0.957107595484467,0.318940188426087,15.8800366041772,111.857274
116,10,0.05,vb_elbo,9,0.933600245533811,0.803666611808283,16.0692497558193,152.588651
116,10,0.05,vb_icl,9,0.933600245533811,0.803666611808283,16.0692497558193,0
116,10,0.05,vb_pred,11,1,1.24069017396201,1.57252438199494,112.544853
117,10,0.05,kmeans_sil,10,0.986334184081304,1.27522572407995,11.9289676583342,130.555207
117,10,0.05,vb_elbo,9,0.943544337779242,0.126068197571278,5.15985950867993,107.058598
117,10,0.05,vb_icl,9,0.943544337779242,0.126068197571278,5.15985950867993,0
117,10,0.05,vb_pred,11,0.997443862410079,1.42807698074172,14.2704907098774,85.155883
118,10,0.05,kmeans_sil,10,0.936064679199038,0.192088987496239,10.6219117997401,134.159809
118,10,0.05,vb_elbo,10,0.93859609648626,0.030437207277024,1.05279470147757,128.550009
118,10,0.05,vb_icl,10,0.93859609648626,0.030437207277024,1.05279470147757,0
118,10,0.05,vb_pred,12,0.93859609648626,0.030437207277024,1.05279470147757,181.240605
119,10,0.05,kmeans_sil,10,0.936922777463958,0.203384771613656,12.8025465476175,180.941279
119,10,0.05,vb_elbo,10,0.94524034559555,0.028543231167547,1.0768779026023,114.965997
119,10,0.05,vb_icl,10,0.94524034559555,0.028543231167547,1.0768779026023,0
119,10,0.05,vb_pred,12,0.940150754916702,0.028543231167547,1.0768779026023,78.58374
120,10,0.05,kmeans_sil,10,0.958034431142413,0.416659137620063,10.6859883313334,159.196504
120,10,0.05,vb_elbo,9,0.897238347281915,0.404495719724029,9.32795664021161,137.498439
120,10,0.05,vb_icl,9,0.897238347281915,0.404495719724029,9.32795664021161,0
120,10,0.05,vb_pred,12,1,1.04070960094459,0.9205342239648,135.622592
121,3,0.1,kmeans_sil,7,0.993562527756303,NaN,NaN,31.266058
121,3,0.1,vb_elbo,3,0.913762622965144,0.019960857968835,0.677373867942181,172.450577
121,3,0.1,vb_icl,3,0.913762622965144,0.019960857968835,0.677373867942181,0
121,3,0.1,vb_pred,9,0.997610418890603,3.28314212373579,0.677373867942181,130.273904
122,3,0.1,kmeans_sil,7,0.995100873580489,NaN,NaN,25.315861
122,3,0.1,vb_elbo,3,0.909383147590551,0.0249882848072539,0.759388723695384,116.063202
122,3,0.1,vb_icl,3,0.909383147590551,0.0249882848072539,0.759388723695384,0
122,3,0.1,vb_pred,11,0.989699728701828,3.20152955872734,40.2519984323364,125.616534
123,3,0.1,kmeans_sil,8,0.993007114043112,NaN,NaN,12.687572
123,3,0.1,vb_elbo,3,0.922045352048592,0.0394979319916128,1.0787083582759,103.164149
123,3,0.1,vb_icl,3,0.922045352048592,0.0394979319916128,1.0787083582759,0
123,3,0.1,vb_pred,4,0.950382168094018,2.17252535888349,1.0787083582759,114.711724
124,3,0.1,kmeans_sil,5,0.994889999572576,NaN,NaN,26.41293
124,3,0.1,vb_elbo,3,0.930385804538793,0.0281645399432856,0.888164360785474,117.687088
124,3,0.1,vb_icl,3,0.930385804538793,0.0281645399432856,0.888164360785474,0
124,3,0.1,vb_pred,5,0.998527121743828,2.7804548520944,32.9571912913474,133.257541
125,3,0.1,kmeans_sil,4,0.996159868810509,NaN,NaN,9.894467
125,3,0.1,vb_elbo,3,0.906475823702826,0.0390921178483606,2.15836581966026,57.830548
125,3,0.1,vb_icl,3,0.906475823702826,0.0390921178483606,2.15836581966026,0
125,3,0.1,vb_pred,10,0.932967859329374,2.52807096380847,2.15836581966026,87.076618
126,4,0.1,kmeans_sil,5,0.993303133020921,NaN,NaN,43.617849
126,4,0.1,vb_elbo,4,0.924304467682368,0.0236797911775902,0.968612843471762,146.545033
126,4,0.1,vb_icl,4,0.924304467682368,0.0236797911775902,0.968612843471762,0
126,4,0.1,vb_pred,8,1,3.50765487722727,25.6096152955924,141.662755
127,4,0.1,kmeans_sil,9,0.993242737221685,NaN,NaN,32.025844
127,4,0.1,vb_elbo,4,0.925804716605068,0.0610981441015757,2.33518829727898,142.911729
127,4,0.1,vb_icl,4,0.925804716605068,0.0610981441015757,2.33518829727898,0
127,4,0.1,vb_pred,10,0.997685797551873,2.71139939130665,37.2007992387333,95.871401
128,4,0.1,kmeans_sil,10,0.990933370695329,NaN,NaN,25.153528
128,4,0.1,vb_elbo,4,0.933906245333808,0.0350508550901569,1.16979315797035,126.57401
128,4,0.1,vb_icl,4,0.933906245333808,0.0350508550901569,1.16979315797035,0
128,4,0.1,vb_pred,9,0.997295581214299,2.76588428169484,31.3322001442158,82.990342
129,4,0.1,kmeans_sil,8,0.994667173247373,NaN,NaN,22.015299
129,4,0.1,vb_elbo,4,0.967891905987866,0.0424260730558356,1.58305733974266,130.591979
129,4,0.1,vb_icl,4,0.967891905987866,0.0424260730558356,1.58305733974266,0
129,4,0.1,vb_pred,12,0.99742368800185,3.06140916324815,1.58305733974265,124.637648
130,4,0.1,kmeans_sil,9,0.989833406218205,NaN,NaN,41.678305
130,4,0.1,vb_elbo,4,0.926837382974807,0.0353026007470919,0.912651222845497,114.03102
130,4,0.1,vb_icl,4,0.9646207289365,0.0353026007470919,0.912651222845497,0
130,4,0.1,vb_pred,9,0.998526629964052,2.55098426974329,40.0756012290582,135.493025
131,5,0.1,kmeans_sil,9,0.99063291931199,NaN,NaN,50.091923
131,5,0.1,vb_elbo,5,0.932692357032728,0.0325013968883181,0.925900727547481,124.460566
131,5,0.1,vb_icl,5,0.932692357032728,0.0325013968883181,0.925900727547481,0
131,5,0.1,vb_pred,12,1,2.35531509075884,20.745363527341,222.336125
132,5,0.1,kmeans_sil,9,0.990036439474658,NaN,NaN,47.458581
